Customer ID,Number of Items,Kiosk Type,Kiosk Number,Time In Line,Time to Checkout,Employee Involved?
440,7.0,cashier,0,0.0,21.1751355013,False
444,7.0,cashier,3,0.0,13.3329698044,False
439,33.0,cashier,4,0.0,104.821954453,False
443,11.0,cashier,2,0.0,36.5900765832,False
441,22.0,cashier,0,0.0,66.5504258613,False
442,22.0,cashier,1,0.0,44.5746063656,False
448,14.0,cashier,1,0.0,28.3656585963,False
452,6.0,cashier,3,0.0,11.4282598323,False
449,20.0,cashier,1,0.0,40.5223694233,False
447,27.0,cashier,0,0.0,81.6755226479,False
454,6.0,cashier,0,0.0,18.150116144,False
450,21.0,cashier,2,0.0,69.853782568,False
445,4.0,self,0,0.0,225.452772998,True
455,21.0,cashier,0,0.0,63.5254065039,False
457,5.0,cashier,1,0.0,10.1305923558,False
456,25.0,cashier,0,0.0,75.6254839333,False
458,7.0,cashier,0,0.0,21.1751355013,False
462,9.0,cashier,3,0.0,17.1423897485,False
459,29.0,cashier,1,0.0,58.7574356637,False
463,8.0,cashier,4,0.0,25.4113828976,False
464,6.0,cashier,1,0.0,12.156710827,False
461,24.0,cashier,0,0.0,72.6004645759,False
467,6.0,cashier,3,0.0,11.4282598323,False
460,29.0,cashier,2,0.0,96.4647473557,False
465,21.0,cashier,1,0.0,42.5484878944,False
469,6.0,cashier,0,0.0,18.150116144,False
470,22.0,cashier,1,0.0,44.5746063656,False
473,7.0,cashier,0,0.0,21.1751355013,False
474,30.0,cashier,1,0.0,60.7835541349,False
451,6.0,self,2,0.0,536.390082902,True
466,4.0,self,0,0.0,209.041655034,False
477,6.0,cashier,0,0.0,18.150116144,False
478,10.0,cashier,1,0.0,20.2611847116,False
475,1,self,0,42.8335700461,35.454874531,False
479,5.0,cashier,2,0.0,16.6318529924,False
453,3.0,self,2,512.40714318,71.2305401387,True
482,8.0,cashier,1,0.0,16.2089477693,False
480,3.0,self,0,0.0,60.4279450438,False
481,19.0,cashier,0,0.0,57.4753677893,False
468,1,self,2,220.750918181,70.7145538722,True
483,6.0,cashier,0,0.0,18.150116144,False
471,1,self,2,244.185026634,32.4576133819,True
485,3.0,self,0,0.0,45.1385975011,False
484,32.0,cashier,0,0.0,96.8006194346,False
488,27.0,cashier,1,0.0,54.7051987214,False
487,2.0,self,0,0.0,67.0017831068,True
446,16.0,self,1,0.0,943.026308071,True
472,4.0,self,2,268.408419238,155.922185705,True
490,5.0,cashier,0,0.0,15.1250967867,False
476,1.0,self,1,320.404488907,45.1893939935,False
486,2.0,self,1,157.603613909,55.2764314804,False
489,6.0,self,0,0.0,156.499709779,False
494,5.0,cashier,1,0.0,10.1305923558,False
492,2.0,self,0,81.4836190688,43.971537337,False
497,1,self,1,0.0,20.2185384449,False
495,20.0,cashier,1,0.0,40.5223694233,False
493,27.0,cashier,0,0.0,81.6755226479,False
491,4.0,self,2,0.0,207.193760478,False
496,30.0,cashier,2,0.0,99.7911179542,False
499,4.0,self,0,0.0,86.5301541525,False
500,20.0,cashier,0,0.0,60.5003871466,False
501,1,self,0,0.0,15.1212192669,False
498,4.0,self,1,15.5747767739,131.601708196,False
504,10.0,cashier,1,0.0,20.2611847116,False
503,17.0,cashier,0,0.0,51.4253290746,False
502,2.0,self,0,0.0,68.5578431459,False
